Aegis Router v0.3 - event-driven P2P simulation
nodes=100 duration=15.0s traffic_rate=20.0/s sybil_ratio=0.20 ttl=18 drain=10.0s
learned #33  : generated= 310 | delivery= 46.5% | drop= 53.5% | inflight=  0 | hops= 5.31 | latency= 1.774 | queue= 0.001 | risk= 0.357 | sybil= 46.1%
learned #34  : generated= 321 | delivery= 53.6% | drop= 46.4% | inflight=  0 | hops= 5.27 | latency= 1.773 | queue= 0.001 | risk= 0.332 | sybil= 40.2%
learned #35  : generated= 311 | delivery= 55.6% | drop= 44.4% | inflight=  0 | hops= 5.60 | latency= 1.846 | queue= 0.002 | risk= 0.328 | sybil= 38.3%
learned #36  : generated= 297 | delivery= 50.5% | drop= 49.5% | inflight=  0 | hops= 5.20 | latency= 1.755 | queue= 0.001 | risk= 0.343 | sybil= 43.1%
learned #37  : generated= 299 | delivery= 54.5% | drop= 45.5% | inflight=  0 | hops= 5.79 | latency= 1.951 | queue= 0.002 | risk= 0.339 | sybil= 42.1%
learned #38  : generated= 338 | delivery= 50.6% | drop= 49.4% | inflight=  0 | hops= 5.10 | latency= 1.732 | queue= 0.002 | risk= 0.334 | sybil= 43.8%
learned #39  : generated= 294 | delivery= 55.8% | drop= 44.2% | inflight=  0 | hops= 5.70 | latency= 1.937 | queue= 0.001 | risk= 0.343 | sybil= 39.8%
learned #40  : generated= 305 | delivery= 50.2% | drop= 49.8% | inflight=  0 | hops= 5.22 | latency= 1.832 | queue= 0.001 | risk= 0.345 | sybil= 45.2%
learned #41  : generated= 296 | delivery= 54.1% | drop= 45.9% | inflight=  0 | hops= 5.69 | latency= 1.946 | queue= 0.002 | risk= 0.353 | sybil= 44.9%
learned #42  : generated= 343 | delivery= 56.9% | drop= 43.1% | inflight=  0 | hops= 5.72 | latency= 1.948 | queue= 0.002 | risk= 0.339 | sybil= 37.9%
learned #43  : generated= 317 | delivery= 54.3% | drop= 45.7% | inflight=  0 | hops= 5.87 | latency= 1.890 | queue= 0.001 | risk= 0.333 | sybil= 37.9%
learned #44  : generated= 304 | delivery= 55.3% | drop= 44.7% | inflight=  0 | hops= 5.51 | latency= 1.848 | queue= 0.001 | risk= 0.325 | sybil= 34.5%
learned #45  : generated= 285 | delivery= 50.9% | drop= 49.1% | inflight=  0 | hops= 5.73 | latency= 1.993 | queue= 0.001 | risk= 0.346 | sybil= 42.5%
learned #46  : generated= 320 | delivery= 53.8% | drop= 46.2% | inflight=  0 | hops= 5.94 | latency= 2.030 | queue= 0.003 | risk= 0.322 | sybil= 40.9%
learned #47  : generated= 293 | delivery= 56.3% | drop= 43.7% | inflight=  0 | hops= 5.59 | latency= 1.804 | queue= 0.001 | risk= 0.320 | sybil= 37.2%
learned #48  : generated= 303 | delivery= 49.8% | drop= 50.2% | inflight=  0 | hops= 5.68 | latency= 1.875 | queue= 0.001 | risk= 0.342 | sybil= 40.9%
learned #49  : generated= 336 | delivery= 52.1% | drop= 47.9% | inflight=  0 | hops= 5.75 | latency= 2.009 | queue= 0.001 | risk= 0.344 | sybil= 42.3%
learned #50  : generated= 287 | delivery= 55.4% | drop= 44.6% | inflight=  0 | hops= 5.35 | latency= 1.797 | queue= 0.002 | risk= 0.338 | sybil= 38.3%
learned #51  : generated= 304 | delivery= 50.7% | drop= 49.3% | inflight=  0 | hops= 5.04 | latency= 1.748 | queue= 0.002 | risk= 0.327 | sybil= 39.1%
learned #52  : generated= 278 | delivery= 57.2% | drop= 42.8% | inflight=  0 | hops= 5.36 | latency= 1.834 | queue= 0.001 | risk= 0.329 | sybil= 35.6%
learned #53  : generated= 267 | delivery= 47.6% | drop= 52.4% | inflight=  0 | hops= 5.34 | latency= 1.802 | queue= 0.002 | risk= 0.345 | sybil= 41.9%
learned #54  : generated= 266 | delivery= 54.5% | drop= 45.5% | inflight=  0 | hops= 5.55 | latency= 1.866 | queue= 0.001 | risk= 0.326 | sybil= 38.3%
learned #55  : generated= 296 | delivery= 55.4% | drop= 44.6% | inflight=  0 | hops= 5.55 | latency= 1.846 | queue= 0.001 | risk= 0.331 | sybil= 38.2%
learned #56  : generated= 314 | delivery= 51.3% | drop= 48.7% | inflight=  0 | hops= 5.45 | latency= 1.868 | queue= 0.002 | risk= 0.348 | sybil= 43.3%
learned #57  : generated= 297 | delivery= 47.5% | drop= 52.5% | inflight=  0 | hops= 5.29 | latency= 1.818 | queue= 0.001 | risk= 0.354 | sybil= 45.8%
learned #58  : generated= 276 | delivery= 51.4% | drop= 48.6% | inflight=  0 | hops= 5.55 | latency= 1.914 | queue= 0.002 | risk= 0.339 | sybil= 40.9%
learned #59  : generated= 295 | delivery= 52.9% | drop= 47.1% | inflight=  0 | hops= 5.24 | latency= 1.755 | queue= 0.002 | risk= 0.335 | sybil= 40.3%
learned #60  : generated= 295 | delivery= 50.8% | drop= 49.2% | inflight=  0 | hops= 5.41 | latency= 1.807 | queue= 0.002 | risk= 0.347 | sybil= 41.7%
learned #61  : generated= 291 | delivery= 57.7% | drop= 42.3% | inflight=  0 | hops= 5.73 | latency= 1.935 | queue= 0.002 | risk= 0.367 | sybil= 46.7%
learned #62  : generated= 315 | delivery= 45.7% | drop= 54.3% | inflight=  0 | hops= 6.04 | latency= 1.995 | queue= 0.002 | risk= 0.346 | sybil= 41.3%
learned #63  : generated= 265 | delivery= 54.0% | drop= 46.0% | inflight=  0 | hops= 5.50 | latency= 1.901 | queue= 0.003 | risk= 0.348 | sybil= 43.4%
learned #64  : generated= 314 | delivery= 50.6% | drop= 49.4% | inflight=  0 | hops= 5.91 | latency= 1.989 | queue= 0.003 | risk= 0.338 | sybil= 37.6%
learned #65  : generated= 290 | delivery= 54.8% | drop= 45.2% | inflight=  0 | hops= 6.09 | latency= 2.032 | queue= 0.002 | risk= 0.357 | sybil= 43.1%
learned #66  : generated= 306 | delivery= 52.9% | drop= 47.1% | inflight=  0 | hops= 6.05 | latency= 2.060 | queue= 0.001 | risk= 0.363 | sybil= 45.4%
learned #67  : generated= 308 | delivery= 50.0% | drop= 50.0% | inflight=  0 | hops= 5.93 | latency= 1.933 | queue= 0.002 | risk= 0.347 | sybil= 43.5%
learned #68  : generated= 336 | delivery= 50.9% | drop= 49.1% | inflight=  0 | hops= 5.51 | latency= 1.791 | queue= 0.001 | risk= 0.344 | sybil= 44.6%
learned #69  : generated= 321 | delivery= 52.6% | drop= 47.4% | inflight=  0 | hops= 5.50 | latency= 1.839 | queue= 0.003 | risk= 0.351 | sybil= 42.7%
learned #70  : generated= 315 | delivery= 53.0% | drop= 47.0% | inflight=  0 | hops= 5.76 | latency= 1.935 | queue= 0.008 | risk= 0.351 | sybil= 44.1%
learned #71  : generated= 311 | delivery= 53.4% | drop= 46.6% | inflight=  0 | hops= 5.58 | latency= 1.879 | queue= 0.003 | risk= 0.354 | sybil= 40.5%
learned #72  : generated= 294 | delivery= 51.7% | drop= 48.3% | inflight=  0 | hops= 5.55 | latency= 1.868 | queue= 0.002 | risk= 0.344 | sybil= 38.4%
learned #73  : generated= 288 | delivery= 53.5% | drop= 46.5% | inflight=  0 | hops= 5.38 | latency= 1.880 | queue= 0.002 | risk= 0.339 | sybil= 41.0%
learned #74  : generated= 291 | delivery= 51.5% | drop= 48.5% | inflight=  0 | hops= 5.71 | latency= 1.914 | queue= 0.001 | risk= 0.350 | sybil= 43.6%
learned #75  : generated= 341 | delivery= 50.1% | drop= 49.9% | inflight=  0 | hops= 5.44 | latency= 1.871 | queue= 0.002 | risk= 0.348 | sybil= 39.0%
learned #76  : generated= 293 | delivery= 47.1% | drop= 52.9% | inflight=  0 | hops= 5.32 | latency= 1.813 | queue= 0.001 | risk= 0.340 | sybil= 43.0%
learned #77  : generated= 307 | delivery= 50.5% | drop= 49.5% | inflight=  0 | hops= 5.48 | latency= 1.795 | queue= 0.001 | risk= 0.338 | sybil= 41.0%
learned #78  : generated= 312 | delivery= 50.0% | drop= 50.0% | inflight=  0 | hops= 5.19 | latency= 1.765 | queue= 0.002 | risk= 0.322 | sybil= 39.4%
learned #79  : generated= 273 | delivery= 49.5% | drop= 50.5% | inflight=  0 | hops= 5.33 | latency= 1.789 | queue= 0.001 | risk= 0.314 | sybil= 37.7%
learned #80  : generated= 319 | delivery= 54.2% | drop= 45.8% | inflight=  0 | hops= 5.85 | latency= 1.964 | queue= 0.001 | risk= 0.346 | sybil= 39.5%
learned #81  : generated= 285 | delivery= 49.5% | drop= 50.5% | inflight=  0 | hops= 6.04 | latency= 2.011 | queue= 0.003 | risk= 0.339 | sybil= 41.8%
learned #82  : generated= 305 | delivery= 58.4% | drop= 41.6% | inflight=  0 | hops= 5.85 | latency= 1.988 | queue= 0.002 | risk= 0.327 | sybil= 37.7%
learned #83  : generated= 305 | delivery= 53.1% | drop= 46.9% | inflight=  0 | hops= 5.77 | latency= 1.973 | queue= 0.003 | risk= 0.342 | sybil= 37.7%
learned #84  : generated= 289 | delivery= 53.6% | drop= 46.4% | inflight=  0 | hops= 5.97 | latency= 2.013 | queue= 0.002 | risk= 0.346 | sybil= 44.3%
learned #85  : generated= 310 | delivery= 51.0% | drop= 49.0% | inflight=  0 | hops= 5.72 | latency= 1.946 | queue= 0.001 | risk= 0.346 | sybil= 43.2%
learned #86  : generated= 296 | delivery= 45.9% | drop= 54.1% | inflight=  0 | hops= 5.40 | latency= 1.803 | queue= 0.001 | risk= 0.312 | sybil= 35.1%
learned #87  : generated= 293 | delivery= 56.3% | drop= 43.7% | inflight=  0 | hops= 5.86 | latency= 1.920 | queue= 0.001 | risk= 0.350 | sybil= 39.2%
learned #88  : generated= 312 | delivery= 54.5% | drop= 45.5% | inflight=  0 | hops= 5.65 | latency= 1.883 | queue= 0.002 | risk= 0.348 | sybil= 42.0%
learned #89  : generated= 329 | delivery= 48.9% | drop= 51.1% | inflight=  0 | hops= 5.41 | latency= 1.805 | queue= 0.002 | risk= 0.340 | sybil= 41.6%
learned #90  : generated= 326 | delivery= 50.6% | drop= 49.4% | inflight=  0 | hops= 5.81 | latency= 1.951 | queue= 0.002 | risk= 0.340 | sybil= 36.8%
learned #91  : generated= 279 | delivery= 51.3% | drop= 48.7% | inflight=  0 | hops= 5.57 | latency= 1.868 | queue= 0.002 | risk= 0.344 | sybil= 40.9%
learned #92  : generated= 315 | delivery= 53.3% | drop= 46.7% | inflight=  0 | hops= 5.52 | latency= 1.821 | queue= 0.002 | risk= 0.352 | sybil= 43.5%
learned #93  : generated= 320 | delivery= 52.2% | drop= 47.8% | inflight=  0 | hops= 5.57 | latency= 1.851 | queue= 0.001 | risk= 0.339 | sybil= 41.2%
learned #94  : generated= 315 | delivery= 54.3% | drop= 45.7% | inflight=  0 | hops= 6.27 | latency= 2.041 | queue= 0.002 | risk= 0.352 | sybil= 40.0%
learned #95  : generated= 301 | delivery= 52.5% | drop= 47.5% | inflight=  0 | hops= 5.23 | latency= 1.745 | queue= 0.003 | risk= 0.331 | sybil= 42.2%
learned #96  : generated= 299 | delivery= 50.5% | drop= 49.5% | inflight=  0 | hops= 5.80 | latency= 1.945 | queue= 0.002 | risk= 0.343 | sybil= 40.1%
learned #97  : generated= 325 | delivery= 53.8% | drop= 46.2% | inflight=  0 | hops= 5.66 | latency= 1.897 | queue= 0.001 | risk= 0.357 | sybil= 44.6%
learned #98  : generated= 311 | delivery= 49.5% | drop= 50.5% | inflight=  0 | hops= 5.92 | latency= 1.850 | queue= 0.002 | risk= 0.350 | sybil= 42.4%
learned #99  : generated= 313 | delivery= 50.8% | drop= 49.2% | inflight=  0 | hops= 5.86 | latency= 2.044 | queue= 0.002 | risk= 0.349 | sybil= 45.7%
learned #100  : generated= 312 | delivery= 53.8% | drop= 46.2% | inflight=  0 | hops= 5.35 | latency= 1.779 | queue= 0.001 | risk= 0.326 | sybil= 39.7%
learned #101  : generated= 304 | delivery= 52.6% | drop= 47.4% | inflight=  0 | hops= 5.56 | latency= 1.802 | queue= 0.000 | risk= 0.314 | sybil= 35.2%
learned #102  : generated= 305 | delivery= 53.1% | drop= 46.9% | inflight=  0 | hops= 5.58 | latency= 1.862 | queue= 0.001 | risk= 0.353 | sybil= 43.6%
learned #103  : generated= 305 | delivery= 54.8% | drop= 45.2% | inflight=  0 | hops= 5.46 | latency= 1.850 | queue= 0.002 | risk= 0.339 | sybil= 43.6%
learned #104  : generated= 301 | delivery= 49.2% | drop= 50.8% | inflight=  0 | hops= 5.86 | latency= 1.974 | queue= 0.002 | risk= 0.363 | sybil= 47.2%
learned #105  : generated= 282 | delivery= 50.0% | drop= 50.0% | inflight=  0 | hops= 5.87 | latency= 1.974 | queue= 0.002 | risk= 0.347 | sybil= 38.7%
learned #106  : generated= 300 | delivery= 54.3% | drop= 45.7% | inflight=  0 | hops= 4.96 | latency= 1.700 | queue= 0.002 | risk= 0.322 | sybil= 43.0%
learned #107  : generated= 316 | delivery= 49.4% | drop= 50.6% | inflight=  0 | hops= 5.29 | latency= 1.782 | queue= 0.002 | risk= 0.332 | sybil= 40.5%
learned #108  : generated= 301 | delivery= 48.2% | drop= 51.8% | inflight=  0 | hops= 5.57 | latency= 1.877 | queue= 0.001 | risk= 0.348 | sybil= 43.5%
learned #109  : generated= 327 | delivery= 52.6% | drop= 47.4% | inflight=  0 | hops= 5.40 | latency= 1.822 | queue= 0.001 | risk= 0.340 | sybil= 40.7%
learned #110  : generated= 293 | delivery= 44.0% | drop= 56.0% | inflight=  0 | hops= 5.35 | latency= 1.793 | queue= 0.002 | risk= 0.334 | sybil= 39.2%
learned #111  : generated= 285 | delivery= 49.8% | drop= 50.2% | inflight=  0 | hops= 5.64 | latency= 1.897 | queue= 0.001 | risk= 0.326 | sybil= 39.6%
learned #112  : generated= 301 | delivery= 55.5% | drop= 44.5% | inflight=  0 | hops= 5.98 | latency= 1.976 | queue= 0.004 | risk= 0.355 | sybil= 41.2%
learned #113  : generated= 314 | delivery= 51.0% | drop= 49.0% | inflight=  0 | hops= 5.90 | latency= 1.975 | queue= 0.001 | risk= 0.347 | sybil= 43.6%
learned #114  : generated= 326 | delivery= 54.3% | drop= 45.7% | inflight=  0 | hops= 5.58 | latency= 1.872 | queue= 0.001 | risk= 0.343 | sybil= 44.5%
learned #115  : generated= 288 | delivery= 51.0% | drop= 49.0% | inflight=  0 | hops= 5.46 | latency= 1.897 | queue= 0.001 | risk= 0.340 | sybil= 41.3%
learned #116  : generated= 299 | delivery= 57.2% | drop= 42.8% | inflight=  0 | hops= 5.29 | latency= 1.746 | queue= 0.001 | risk= 0.323 | sybil= 39.1%
learned #117  : generated= 280 | delivery= 53.9% | drop= 46.1% | inflight=  0 | hops= 5.23 | latency= 1.763 | queue= 0.001 | risk= 0.326 | sybil= 38.2%
learned #118  : generated= 320 | delivery= 51.6% | drop= 48.4% | inflight=  0 | hops= 5.62 | latency= 1.907 | queue= 0.001 | risk= 0.334 | sybil= 37.5%
learned #119  : generated= 289 | delivery= 52.9% | drop= 47.1% | inflight=  0 | hops= 5.88 | latency= 2.057 | queue= 0.002 | risk= 0.343 | sybil= 44.3%
learned #120  : generated= 347 | delivery= 53.0% | drop= 47.0% | inflight=  0 | hops= 5.61 | latency= 1.880 | queue= 0.002 | risk= 0.345 | sybil= 41.2%
learned #121  : generated= 278 | delivery= 55.4% | drop= 44.6% | inflight=  0 | hops= 5.71 | latency= 1.935 | queue= 0.002 | risk= 0.340 | sybil= 38.5%
learned #122  : generated= 299 | delivery= 52.2% | drop= 47.8% | inflight=  0 | hops= 5.03 | latency= 1.705 | queue= 0.001 | risk= 0.310 | sybil= 39.1%
learned #123  : generated= 310 | delivery= 51.9% | drop= 48.1% | inflight=  0 | hops= 5.66 | latency= 1.906 | queue= 0.001 | risk= 0.338 | sybil= 40.3%
learned #124  : generated= 278 | delivery= 47.1% | drop= 52.9% | inflight=  0 | hops= 6.02 | latency= 1.995 | queue= 0.002 | risk= 0.336 | sybil= 37.8%
learned #125  : generated= 292 | delivery= 50.7% | drop= 49.3% | inflight=  0 | hops= 6.16 | latency= 2.052 | queue= 0.002 | risk= 0.351 | sybil= 41.4%
learned #126  : generated= 308 | delivery= 49.7% | drop= 50.3% | inflight=  0 | hops= 5.50 | latency= 1.893 | queue= 0.001 | risk= 0.353 | sybil= 50.0%
learned #127  : generated= 299 | delivery= 53.5% | drop= 46.5% | inflight=  0 | hops= 5.41 | latency= 1.821 | queue= 0.002 | risk= 0.343 | sybil= 41.8%
learned #128  : generated= 301 | delivery= 48.8% | drop= 51.2% | inflight=  0 | hops= 5.88 | latency= 1.956 | queue= 0.001 | risk= 0.345 | sybil= 42.2%
learned #129  : generated= 293 | delivery= 51.5% | drop= 48.5% | inflight=  0 | hops= 4.99 | latency= 1.671 | queue= 0.000 | risk= 0.307 | sybil= 37.2%
learned #130  : generated= 291 | delivery= 53.6% | drop= 46.4% | inflight=  0 | hops= 5.29 | latency= 1.757 | queue= 0.003 | risk= 0.336 | sybil= 42.3%
learned #131  : generated= 317 | delivery= 55.2% | drop= 44.8% | inflight=  0 | hops= 5.02 | latency= 1.686 | queue= 0.001 | risk= 0.326 | sybil= 35.3%
learned #132  : generated= 327 | delivery= 52.0% | drop= 48.0% | inflight=  0 | hops= 5.35 | latency= 1.827 | queue= 0.002 | risk= 0.340 | sybil= 38.5%
learned #133  : generated= 281 | delivery= 55.9% | drop= 44.1% | inflight=  0 | hops= 5.34 | latency= 1.796 | queue= 0.004 | risk= 0.334 | sybil= 43.1%
learned #134  : generated= 300 | delivery= 52.7% | drop= 47.3% | inflight=  0 | hops= 4.99 | latency= 1.712 | queue= 0.001 | risk= 0.334 | sybil= 41.0%
learned #135  : generated= 299 | delivery= 46.8% | drop= 53.2% | inflight=  0 | hops= 5.67 | latency= 1.946 | queue= 0.002 | risk= 0.358 | sybil= 41.8%
learned #136  : generated= 288 | delivery= 52.8% | drop= 47.2% | inflight=  0 | hops= 5.74 | latency= 1.863 | queue= 0.001 | risk= 0.361 | sybil= 45.8%
learned #137  : generated= 292 | delivery= 46.9% | drop= 53.1% | inflight=  0 | hops= 5.43 | latency= 1.821 | queue= 0.001 | risk= 0.349 | sybil= 42.5%
learned #138  : generated= 324 | delivery= 53.4% | drop= 46.6% | inflight=  0 | hops= 4.86 | latency= 1.627 | queue= 0.001 | risk= 0.329 | sybil= 41.4%
learned #139  : generated= 294 | delivery= 50.3% | drop= 49.7% | inflight=  0 | hops= 5.75 | latency= 1.912 | queue= 0.001 | risk= 0.337 | sybil= 40.1%
learned #140  : generated= 278 | delivery= 55.4% | drop= 44.6% | inflight=  0 | hops= 5.61 | latency= 1.908 | queue= 0.001 | risk= 0.339 | sybil= 38.5%
learned #141  : generated= 289 | delivery= 50.9% | drop= 49.1% | inflight=  0 | hops= 5.63 | latency= 1.909 | queue= 0.001 | risk= 0.347 | sybil= 40.8%
learned #142  : generated= 320 | delivery= 55.6% | drop= 44.4% | inflight=  0 | hops= 5.79 | latency= 1.951 | queue= 0.002 | risk= 0.348 | sybil= 41.2%
learned #143  : generated= 290 | delivery= 52.4% | drop= 47.6% | inflight=  0 | hops= 5.33 | latency= 1.813 | queue= 0.000 | risk= 0.341 | sybil= 43.4%
learned #144  : generated= 333 | delivery= 54.4% | drop= 45.6% | inflight=  0 | hops= 5.45 | latency= 1.797 | queue= 0.002 | risk= 0.327 | sybil= 35.1%
learned #145  : generated= 290 | delivery= 55.9% | drop= 44.1% | inflight=  0 | hops= 5.80 | latency= 1.984 | queue= 0.002 | risk= 0.346 | sybil= 44.1%
learned #146  : generated= 299 | delivery= 50.5% | drop= 49.5% | inflight=  0 | hops= 5.68 | latency= 1.922 | queue= 0.001 | risk= 0.340 | sybil= 38.5%
learned #147  : generated= 318 | delivery= 53.8% | drop= 46.2% | inflight=  0 | hops= 5.87 | latency= 1.892 | queue= 0.001 | risk= 0.357 | sybil= 40.9%
learned #148  : generated= 282 | delivery= 51.4% | drop= 48.6% | inflight=  0 | hops= 5.03 | latency= 1.720 | queue= 0.001 | risk= 0.340 | sybil= 46.1%
