rank,shortlist_slot,source,candidate_id,stage,parent,selection_score,cvar_score_low40,cvar_delivery_low40,cvar_sybil_high40,dev_score_mean,dev_score_std,dev_delivery_mean,dev_sybil_mean,dev_sybil_max,original_robust_score,params
226,,runs/refine_edge_global_v1/stage2_results.csv,8177,stage2,top4,0.25234699478154676,0.36544573366208144,0.5406716916900121,0.1513313278048036,0.43247297479695695,0.06112468287395425,0.5932422063438662,0.13489471109204573,0.15563357610491518,0.48413519344881145,"{""adapt_step"": 0.03469480102804992, ""bandwidth_weight"": 0.6591892178124915, ""drop_threshold"": 0.45005871596408165, ""edge_penalty"": 1.9856351466342006, ""latency_weight"": 4.661605860652428, ""learned_penalty"": 18.212472346491232, ""loop_penalty"": 20.303293401800126, ""loss_weight"": 88.21223969685938, ""low_ttl_penalty"": 3.776452965055983, ""max_budget"": 0.6332544754070406, ""min_budget"": 0.08912163398198171, ""progress_weight"": 9.102411255147745, ""reputation_decay"": 0.8916806913798385, ""reputation_penalty"": 7.189310239960018, ""risk_budget"": 0.20548175648692682, ""solver"": ""edge"", ""stability_weight"": 3.332025916261371, ""sybil_threshold"": 0.4198884220216381, ""window_size"": 12}"
227,,runs/refine_edge_global_v2/stage2_results.csv,12110,stage2,top8,0.252285420466972,0.36414800641581346,0.5379507587712075,0.14903291087538825,0.432241475790933,0.06296665154316124,0.5946701390765162,0.1365233169396577,0.15007277078134404,0.5437433022003554,"{""adapt_step"": 0.11262306997353452, ""bandwidth_weight"": 1.3542820170836094, ""drop_threshold"": 0.33968309289571325, ""edge_penalty"": 1.165159387726509, ""latency_weight"": 1.974222560451816, ""learned_penalty"": 13.865614647181422, ""loop_penalty"": 22.496461200261887, ""loss_weight"": 111.94015250311692, ""low_ttl_penalty"": 2.967272778039535, ""max_budget"": 0.6322046339122904, ""min_budget"": 0.11357289943989901, ""progress_weight"": 8.886837938244993, ""reputation_decay"": 0.7966317209137864, ""reputation_penalty"": 4.483237293006732, ""risk_budget"": 0.15537141270138133, ""solver"": ""edge"", ""stability_weight"": 4.276682938131923, ""sybil_threshold"": 0.43468328802118017, ""window_size"": 32}"
228,,runs/refine_edge_global_v2/stage2_results.csv,11815,stage2,top4,0.25227764076075226,0.3707406849016096,0.5480993526523079,0.1585114256978601,0.4345143503442589,0.06043905844965221,0.6010072286815449,0.1412793948562341,0.1628087153819975,0.5309273576629704,"{""adapt_step"": 0.09638920371740285, ""bandwidth_weight"": 1.145905521708387, ""drop_threshold"": 0.3551206494813575, ""edge_penalty"": 0.532987517172657, ""latency_weight"": 1.8862165207439299, ""learned_penalty"": 13.739097474562268, ""loop_penalty"": 11.301787940886046, ""loss_weight"": 72.95684250225167, ""low_ttl_penalty"": 2.5152176831789443, ""max_budget"": 0.6464437759700992, ""min_budget"": 0.1331800391981999, ""progress_weight"": 11.077971333058407, ""reputation_decay"": 0.7312617010534579, ""reputation_penalty"": 4.47720189467022, ""risk_budget"": 0.0869840042448394, ""solver"": ""edge"", ""stability_weight"": 4.063399218456316, ""sybil_threshold"": 0.40415980285619685, ""window_size"": 5}"
229,,runs/refine_edge_global_v1/stage2_results.csv,490,stage2,top9,0.2522670518007402,0.3652312816592411,0.5366685538395402,0.15005951544737528,0.42866953840968713,0.056379462871878804,0.5914798002950004,0.13669614667671795,0.15146660359822237,0.47964045104108266,"{""adapt_step"": 0.018529247800710035, ""bandwidth_weight"": 0.20127652648634767, ""drop_threshold"": 0.38940506862432334, ""edge_penalty"": 0.8098261577296676, ""latency_weight"": 4.079291962088162, ""learned_penalty"": 7.6206302409996916, ""loop_penalty"": 13.009021126305893, ""loss_weight"": 90.86445340971547, ""low_ttl_penalty"": 1.3649531392596654, ""max_budget"": 0.4748420715397039, ""min_budget"": 0.13724702524471227, ""progress_weight"": 10.298620798731202, ""reputation_decay"": 0.7273444120180558, ""reputation_penalty"": 3.7228323954855487, ""risk_budget"": 0.23807919994309087, ""solver"": ""edge"", ""stability_weight"": 2.628921770161398, ""sybil_threshold"": 0.5152848517357653, ""window_size"": 12}"
230,,runs/refine_edge_global_v1/stage2_results.csv,1357,stage2,top2,0.2522569012818323,0.371133388104086,0.5546406109827309,0.16178095572591095,0.43931137470511716,0.06098289819733267,0.6086539198454117,0.14494427045816904,0.16707370261435942,0.4920448895236597,"{""adapt_step"": 0.10567074594093286, ""bandwidth_weight"": 1.4200316562038826, ""drop_threshold"": 0.34792726864661144, ""edge_penalty"": 0.4475983310925885, ""latency_weight"": 2.1279629423704143, ""learned_penalty"": 7.645510798589583, ""loop_penalty"": 16.704891786864007, ""loss_weight"": 103.26761135458322, ""low_ttl_penalty"": 2.7475528738705908, ""max_budget"": 0.7158164978126624, ""min_budget"": 0.10345875305493392, ""progress_weight"": 10.316947785836456, ""reputation_decay"": 0.7887467070722349, ""reputation_penalty"": 3.3800560865084006, ""risk_budget"": 0.1340649063147875, ""solver"": ""edge"", ""stability_weight"": 3.9104102133040666, ""sybil_threshold"": 0.3181855002047077, ""window_size"": 5}"
231,,runs/refine_edge_global_v1/stage2_results.csv,6509,stage2,top3,0.252135639915134,0.3567352445474321,0.5184207931910444,0.13602964201481704,0.41633549405297093,0.05657028464334825,0.5656679197178869,0.12039038430337134,0.14132197853300055,0.47724691364914246,"{""adapt_step"": 0.04221012451043431, ""bandwidth_weight"": 0.3669999099738509, ""drop_threshold"": 0.5996131603591359, ""edge_penalty"": 2.4643563366074015, ""latency_weight"": 2.8986737019280726, ""learned_penalty"": 18.040742139159683, ""loop_penalty"": 8.81758351027, ""loss_weight"": 73.73420833790657, ""low_ttl_penalty"": 1.2768399461618423, ""max_budget"": 0.7673711960039439, ""min_budget"": 0.1198696479988643, ""progress_weight"": 8.391852847531913, ""reputation_decay"": 0.9250103732639201, ""reputation_penalty"": 2.3382089293703014, ""risk_budget"": 0.27660479554240036, ""solver"": ""edge"", ""stability_weight"": 2.8693146332645014, ""sybil_threshold"": 0.52, ""window_size"": 32}"
232,,runs/refine_edge_global_v1/stage2_results.csv,1968,stage2,base,0.25202364060779625,0.37210288981728407,0.5516833055614867,0.1624089901604216,0.43068089920641806,0.05310218627049933,0.6028725584244341,0.14722724839379286,0.1652410605666634,0.4832903342700292,"{""adapt_step"": 0.0117257792315431, ""bandwidth_weight"": 0.8598848679226944, ""drop_threshold"": 0.39470896697778524, ""edge_penalty"": 1.2554740907659026, ""latency_weight"": 3.8613310012974544, ""learned_penalty"": 8.513641359860834, ""loop_penalty"": 10.098385877445422, ""loss_weight"": 56.83176967180047, ""low_ttl_penalty"": 4.760195573539758, ""max_budget"": 0.5684273054725372, ""min_budget"": 0.07113119856579267, ""progress_weight"": 8.023065696910209, ""reputation_decay"": 0.7848489059358036, ""reputation_penalty"": 2.7804858185923833, ""risk_budget"": 0.22912661158778233, ""solver"": ""edge"", ""stability_weight"": 1.6534263381529875, ""sybil_threshold"": 0.29185756552490544, ""window_size"": 12}"
233,,runs/refine_edge_global_v1/stage2_results.csv,7433,stage2,top5,0.25202110744539996,0.37039433953638473,0.5517310842817515,0.16043825125626224,0.4318524341398124,0.05953253379208715,0.6033812138985556,0.1464652758151691,0.16105082156149864,0.4892453697895831,"{""adapt_step"": 0.06677246708254629, ""bandwidth_weight"": 0.9786604354456386, ""drop_threshold"": 0.2657254870761207, ""edge_penalty"": 2.0531314322659675, ""latency_weight"": 0.3076158396700803, ""learned_penalty"": 11.704334781195316, ""loop_penalty"": 17.95616466397393, ""loss_weight"": 84.2523962692366, ""low_ttl_penalty"": 2.7684170314720897, ""max_budget"": 0.577803891544184, ""min_budget"": 0.14259338146552014, ""progress_weight"": 7.747200880582515, ""reputation_decay"": 0.8751144425525321, ""reputation_penalty"": 2.501802169575427, ""risk_budget"": 0.343529420482141, ""solver"": ""edge"", ""stability_weight"": 2.6591252930669524, ""sybil_threshold"": 0.34106185105685644, ""window_size"": 12}"
234,,runs/refine_edge_global_v2/stage2_results.csv,7525,stage2,top3,0.2519063247302617,0.37913016480240147,0.572947928747525,0.17685325229798177,0.43678021768129804,0.055505935090864295,0.6194053654104488,0.15940328347654492,0.17894275451690292,0.50362820766044,"{""adapt_step"": 0.11265351911850151, ""bandwidth_weight"": 1.3023245568510975, ""drop_threshold"": 0.3600609116681029, ""edge_penalty"": 0.42754937543449845, ""latency_weight"": 1.655562704362847, ""learned_penalty"": 10.802736934225685, ""loop_penalty"": 18.702559466944308, ""loss_weight"": 61.39305404187491, ""low_ttl_penalty"": 3.2062781882227362, ""max_budget"": 0.6786258156596173, ""min_budget"": 0.11313293035937481, ""progress_weight"": 7.47348213525225, ""reputation_decay"": 0.7041889144472252, ""reputation_penalty"": 3.298119645809389, ""risk_budget"": 0.13611596968216422, ""solver"": ""edge"", ""stability_weight"": 4.839553694231062, ""sybil_threshold"": 0.4110944898624132, ""window_size"": 5}"
235,,runs/refine_edge_global_v2/stage2_results.csv,9852,stage2,top9,0.25189983373409564,0.3641800012016446,0.5428846194896493,0.15274806743689062,0.42683105541305333,0.05638733110435956,0.589664885469082,0.13648760726199022,0.16342376684031834,0.5275447081063166,"{""adapt_step"": 0.093201676704859, ""bandwidth_weight"": 1.2731947685950136, ""drop_threshold"": 0.37976952549744136, ""edge_penalty"": 1.1028035890182113, ""latency_weight"": 2.158534276069429, ""learned_penalty"": 14.098762205601085, ""loop_penalty"": 20.167303054659897, ""loss_weight"": 97.58531780428474, ""low_ttl_penalty"": 2.7582141034549283, ""max_budget"": 0.6049954805770099, ""min_budget"": 0.1134431067912546, ""progress_weight"": 9.412670064709438, ""reputation_decay"": 0.6969764542694622, ""reputation_penalty"": 6.962710147220802, ""risk_budget"": 0.10865657914288486, ""solver"": ""edge"", ""stability_weight"": 4.6679710439134015, ""sybil_threshold"": 0.5026572190795202, ""window_size"": 48}"
